"","TEAM","WIN%","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD"
"1","Atlanta Hawks",0.24,48.2,103.4,38.8,85.6,45.4,10.8,28.1,38.5,14.9,19,78.5,9.2,31.2,40.4,23.2,15.8,8.9,3.8,5.1,19.9,20.4
"2","Boston Celtics",0.815,48.2,104.4,37.6,83.7,45,11.4,30.9,36.9,17.7,22.9,77.3,9.3,35.7,45.1,22.4,14.2,8,4.4,4.2,19.7,20.1
"3","Brooklyn Nets",0.4,48,108.6,38.9,87.8,44.3,11.8,33.8,34.8,19,25.9,73.3,10.3,35.3,45.6,22.6,15.8,6.9,4.2,5.6,21.4,22
"4","Charlotte Hornets",0.36,48.4,104.6,37.6,86.2,43.6,8.8,25.3,34.8,20.6,28.2,72.8,10.2,36.8,47,20.3,13.4,6.2,4.6,5,18.9,23.7
"5","Chicago Bulls",0.2,48.4,96.9,37,87.8,42.2,10.4,30.7,34,12.4,16.8,73.8,9.4,35,44.4,22.2,14.4,6.8,3.7,4.5,19.2,16.1
"6","Cleveland Cavaliers",0.704,48.2,110.5,39.8,83,47.9,12,32.4,37.1,18.9,23.4,80.9,8.3,34,42.2,23,14.8,7,3.9,4,19.1,21.6
"7","Dallas Mavericks",0.269,48.2,100.4,36.8,84.5,43.6,11.7,32.2,36.2,15,19.6,76.7,8.2,33.9,42.1,21.3,13.7,6.7,3.6,4.7,19.8,20.2
"8","Denver Nuggets",0.56,48,107,39.6,86.2,46,11,29.8,36.8,16.7,22.9,73.1,11.8,33,44.8,23.1,15.5,7.9,4.6,4.8,17.8,21
"9","Detroit Pistons",0.56,48,104,39.4,86.4,45.6,11,29,37.9,14.3,19.4,73.7,10.6,31.8,42.4,22.2,14.6,7.9,3.2,5.5,19.6,19.2
"10","Golden State Warriors",0.778,48.2,117.2,44,86,51.2,12.4,31.2,39.8,16.8,20.8,80.8,8.4,36.5,44.9,30.8,16.3,8.7,8.7,4,20.4,18.1
"11","Houston Rockets",0.833,48,114.4,39.1,83.7,46.8,15.9,43.2,36.9,20.3,25.2,80.3,9.3,35.1,44.4,22.7,15.9,9.4,4.8,4.7,20.8,20.7
"12","Indiana Pacers",0.577,48,108.3,41.5,86.8,47.8,10.2,25.9,39.5,15.2,19.8,76.7,9.1,33.6,42.7,23.2,14.2,8,4.5,5.5,18.5,18.4
"13","LA Clippers",0.375,48.2,105.3,38.2,84.3,45.4,10.7,29.7,35.9,18.2,24.1,75.6,10.9,31.7,42.5,20.5,15.1,7.9,4.5,5,21.1,21.8
"14","Los Angeles Lakers",0.4,48.4,106,40.5,88.7,45.6,8.4,26.3,31.9,16.6,23.7,70.2,10.3,36,46.3,22.7,17.2,8.4,5.7,5.5,22.2,21
