"","Player","Pos","Age","Abb_team","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Team","team_AST","team_FG"
"1","Alex Abrines","SG",23,"OKC",68,6,1055,4.6,11.6,0.393,3.2,8.4,0.381,1.4,3.2,0.426,1.5,1.7,0.898,0.6,2.3,2.9,1.4,1.3,0.3,1.1,3.9,13.9,"Oklahoma City Thunder",21,45.2
"2","Quincy Acy","PF",26,"DAL",6,0,48,3.7,12.7,0.294,0.7,5.2,0.143,3,7.5,0.4,1.5,2.3,0.667,1.5,4.5,6,0,0,0,1.5,6.8,9.7,"Dallas Mavericks",20.8,44
"3","Quincy Acy","PF",26,"BRK",32,1,510,4.6,10.8,0.425,2.5,5.9,0.434,2,4.9,0.414,3,4,0.754,1.3,6.3,7.6,1.3,1,1.1,1.3,4.1,14.8,"Brooklyn Nets",21.4,44.4
"4","Steven Adams","C",23,"OKC",80,80,2389,5.6,9.9,0.571,0,0,0,5.6,9.9,0.572,2.4,3.9,0.611,4.2,5,9.2,1.3,1.3,1.2,2.2,2.9,13.6,"Oklahoma City Thunder",21,45.2
"5","Arron Afflalo","SG",31,"SAC",61,45,1580,4.2,9.6,0.44,1.4,3.4,0.411,2.8,6.1,0.457,1.9,2.1,0.892,0.2,2.6,2.8,1.8,0.5,0.1,1,2.4,11.7,"Sacramento Kings",22.5,46.1
"6","Alexis Ajinca","C",28,"NOP",39,15,584,5.5,11,0.5,0,0.2,0,5.5,10.7,0.511,1.8,2.5,0.725,2.8,8.1,10.9,0.7,1.2,1.4,1.9,4.7,12.8,"New Orleans Pelicans",22.8,45
"7","Cole Aldrich","C",28,"MIN",62,0,531,3.1,5.8,0.523,0,0,NA,3.1,5.8,0.523,1,1.5,0.682,3.5,7.3,10.7,1.7,1.7,1.6,1.2,5.8,7.1,"Minnesota Timberwolves",23.7,46.7
"8","LaMarcus Aldridge","PF",31,"SAS",72,72,2335,7.7,16.2,0.477,0.4,0.9,0.411,7.4,15.3,0.48,3.4,4.2,0.812,2.7,5.4,8.1,2.1,0.7,1.4,1.5,2.4,19.2,"San Antonio Spurs",23.8,46.9
"9","Lavoy Allen","PF",27,"IND",61,5,871,3.2,6.9,0.458,0,0,0,3.2,6.9,0.461,1,1.4,0.697,4.3,4.7,9.1,2.4,0.7,1,1.2,3.2,7.3,"Indiana Pacers",22.5,46.5
"10","Tony Allen","SG",35,"MEM",71,66,1914,5.2,11.2,0.461,0.3,1,0.278,4.9,10.2,0.479,1.5,2.4,0.615,3.1,4.2,7.4,1.8,2.2,0.5,1.9,3.3,12.1,"Memphis Grizzlies",21.3,43.5
"11","Al-Farouq Aminu","SF",26,"POR",61,25,1773,3.7,9.5,0.393,1.4,4.3,0.33,2.3,5.2,0.445,1.9,2.8,0.706,1.6,7.6,9.2,2,1.2,0.9,1.9,2.1,10.8,"Portland Trail Blazers",21.1,45.9
"12","Chris Andersen","C",38,"CLE",12,0,114,2.8,6.9,0.409,0,0.9,0,2.8,6,0.474,3.2,4.4,0.714,2.8,6.9,9.8,1.6,1.6,2.2,1.6,6.3,8.8,"Cleveland Cavaliers",22.7,47
"13","Alan Anderson","SF",34,"LAC",30,0,308,3.5,9.4,0.375,1.6,5.1,0.318,1.9,4.2,0.444,1.4,1.9,0.75,0.4,2.5,2.8,1.3,0.4,0,0.8,4.1,10.1,"LA Clippers",22.5,47.5
"14","Justin Anderson","SF",23,"DAL",51,2,710,5.6,14,0.401,1.9,6.2,0.303,3.8,7.9,0.477,3.5,4.5,0.795,2,5.6,7.6,1.6,1.4,0.8,2,3.2,16.7,"Dallas Mavericks",20.8,44
"15","Justin Anderson","SF",23,"PHI",24,8,518,5.2,11.3,0.463,1.5,5,0.292,3.8,6.3,0.6,2.2,2.8,0.78,2.1,4.6,6.7,2.4,0.9,0.5,1.8,3.1,14.1,"Philadelphia 76ers",23.8,44.2
"16","Kyle Anderson","SG",23,"SAS",72,14,1020,3.3,7.4,0.445,0.5,1.4,0.375,2.8,6,0.462,1.6,2,0.789,1.2,6.2,7.3,3.2,1.8,0.9,1.4,2.2,8.7,"San Antonio Spurs",23.8,46.9
"17","Ryan Anderson","PF",28,"HOU",72,72,2116,5.5,13.2,0.418,3.5,8.6,0.403,2,4.5,0.446,2.2,2.6,0.86,1.9,3.7,5.6,1.2,0.5,0.2,0.9,2.4,16.7,"Houston Rockets",25.2,46.2
"18","Giannis Antetokounmpo","SF",22,"MIL",80,80,2845,8.3,15.9,0.521,0.6,2.3,0.272,7.7,13.7,0.563,6,7.7,0.77,1.8,7.1,8.9,5.5,1.7,1.9,3,3.1,23.2,"Milwaukee Bucks",24.2,47.4
"19","Carmelo Anthony","SF",32,"NYK",74,74,2538,8.5,19.7,0.433,2.1,6,0.359,6.4,13.7,0.466,4.3,5.2,0.833,0.9,5.3,6.2,3,0.9,0.5,2.2,2.8,23.5,"New York Knicks",21.8,44.7
"20","Joel Anthony","C",34,"SAS",19,0,122,3,4.7,0.625,0,0,NA,3,4.7,0.625,1.5,2.4,0.625,2.4,6.8,9.1,0.9,0.6,1.8,1.2,3.2,7.4,"San Antonio Spurs",23.8,46.9
"21","Trevor Ariza","SF",31,"HOU",80,80,2773,4.2,10.4,0.409,2.5,7.2,0.344,1.8,3.2,0.556,1.2,1.6,0.738,0.7,5.2,5.9,2.3,1.9,0.3,0.9,1.7,12.2,"Houston Rockets",25.2,46.2
"22","Darrell Arthur","PF",28,"DEN",41,7,639,5.4,12.1,0.442,3,6.6,0.453,2.4,5.5,0.429,1.1,1.2,0.864,1.4,4.9,6.3,2.4,1.1,1.2,2,4.3,14.8,"Denver Nuggets",25.3,46.9
"23","Omer Asik","C",30,"NOP",31,19,482,2.3,4.9,0.477,0,0,NA,2.3,4.9,0.477,1.7,2.9,0.59,3.6,8.6,12.2,1.1,0.4,0.7,1,3.8,6.3,"New Orleans Pelicans",22.8,45
"24","D.J. Augustin","PG",29,"ORL",78,20,1538,4.6,12.1,0.377,2.2,6.4,0.347,2.3,5.7,0.412,3.1,3.8,0.814,0.4,2.4,2.7,4.9,0.7,0,2.1,2.4,14.4,"Orlando Magic",22.2,44
"25","Luke Babbitt","SF",27,"MIA",68,55,1065,3.8,9.5,0.402,2.9,7.1,0.414,0.9,2.4,0.366,0.4,0.5,0.733,0.4,4.4,4.8,1.2,0.7,0.4,0.8,4,11,"Miami Heat",21.2,45.5
"26","Ron Baker","SG",23,"NYK",52,13,857,3.4,9.1,0.378,1,3.6,0.267,2.5,5.5,0.45,1.2,1.8,0.651,0.5,3.6,4.1,4.5,1.4,0.3,2.4,3.1,9,"New York Knicks",21.8,44.7
"27","Wade Baldwin","PG",20,"MEM",33,1,405,3.2,10.2,0.313,0.3,2,0.136,2.9,8.3,0.355,2.8,3.3,0.838,1,3.1,4.1,5.4,1.6,0.6,3.5,3.6,9.4,"Memphis Grizzlies",21.3,43.5
"28","Leandro Barbosa","SG",34,"PHO",67,0,963,6.4,14.7,0.439,1.3,3.7,0.357,5.1,11,0.466,1.5,1.7,0.889,0.6,3.3,3.9,3,1.2,0.3,1.8,3.1,15.7,"Phoenix Suns",19.6,45
"29","J.J. Barea","PG",32,"DAL",35,6,771,6.6,16,0.414,2.5,6.9,0.358,4.2,9.1,0.456,2.1,2.4,0.863,0.4,3.5,3.9,9,0.7,0,2.9,1.4,17.8,"Dallas Mavericks",20.8,44
"30","Harrison Barnes","PF",24,"DAL",79,79,2803,7.7,16.4,0.468,1,2.9,0.351,6.7,13.6,0.492,3.1,3.6,0.861,1.2,3.9,5.1,1.5,0.8,0.2,1.3,1.6,19.5,"Dallas Mavericks",20.8,44
"31","Matt Barnes","SF",36,"SAC",54,13,1367,3.9,10.1,0.384,1.8,5.6,0.327,2.1,4.5,0.453,1.3,1.7,0.758,1.4,6.3,7.7,4,0.9,0.4,2.2,3.6,10.9,"Sacramento Kings",22.5,46.1
"32","Matt Barnes","SF",36,"GSW",20,5,410,3.3,7.9,0.422,1.6,4.6,0.346,1.8,3.3,0.526,1.8,2,0.87,1.3,6.7,8,4,1.1,0.8,2.1,4.1,10,"Golden State Warriors",30.4,49.5
"33","Will Barton","SG",26,"DEN",60,19,1705,6.2,14.1,0.443,1.8,5,0.37,4.4,9.1,0.483,3,4,0.753,1.2,4.2,5.5,4.3,1,0.6,2,2.3,17.3,"Denver Nuggets",25.3,46.9
"34","Brandon Bass","PF",31,"LAC",52,0,577,6.7,11.6,0.575,0.1,0.2,0.333,6.6,11.4,0.579,4.8,5.5,0.875,2.7,5.4,8,1.3,0.9,0.7,1.8,2.8,18.2,"LA Clippers",22.5,47.5
"35","Nicolas Batum","SG",28,"CHO",77,77,2617,5.4,13.4,0.403,1.9,5.6,0.333,3.5,7.8,0.453,3.3,3.9,0.856,0.6,6,6.6,6.3,1.2,0.4,2.7,1.5,16,"Charlotte Hornets",23.1,44.2
"36","Jerryd Bayless","PG",28,"PHI",3,1,71,5.6,16.2,0.344,1,2.5,0.4,4.6,13.7,0.333,4.6,5.1,0.9,1.5,4.6,6.1,6.6,0,0,4.6,2,16.7,"Philadelphia 76ers",23.8,44.2
"37","Aron Baynes","C",30,"DET",75,2,1163,4.4,8.6,0.513,0,0,NA,4.4,8.6,0.513,2.4,2.9,0.84,3.4,6.9,10.3,1,0.5,1.2,1.5,5.1,11.3,"Detroit Pistons",21.1,44.9
"38","Kent Bazemore","SF",27,"ATL",73,64,1963,5.4,13.2,0.409,1.7,4.9,0.346,3.7,8.3,0.446,2.2,3.1,0.708,0.8,3.4,4.2,3.2,1.7,1,2.3,3,14.7,"Atlanta Hawks",23.6,45.1
"39","Bradley Beal","SG",23,"WAS",77,77,2684,8.5,17.7,0.482,3,7.4,0.404,5.6,10.3,0.538,3.8,4.6,0.825,0.7,2.5,3.2,3.6,1.1,0.3,2.1,2.3,23.9,"Washington Wizards",23.9,47.5
"40","Malik Beasley","SG",20,"DEN",22,1,165,7.2,15.9,0.452,2,6.1,0.321,5.2,9.8,0.533,1.7,2.2,0.8,1.1,2.6,3.7,2.4,1.5,0,1.7,2.2,18.1,"Denver Nuggets",25.3,46.9
"41","Michael Beasley","PF",28,"MIL",56,6,935,8.3,15.6,0.532,0.7,1.7,0.419,7.6,14,0.545,3,4,0.743,1.5,5.9,7.4,2,1,1,2.5,3.5,20.3,"Milwaukee Bucks",24.2,47.4
"42","Marco Belinelli","SG",30,"CHO",74,0,1778,5.3,12.5,0.429,2.1,5.7,0.36,3.3,6.7,0.488,3,3.4,0.893,0.3,3.3,3.6,3,0.9,0.2,1.4,1.8,15.8,"Charlotte Hornets",23.1,44.2
"43","DeAndre' Bembry","SF",22,"ATL",38,1,371,4.6,9.5,0.48,0.1,1.7,0.056,4.5,7.8,0.575,0.6,1.6,0.375,1.4,4.4,5.7,2.7,0.8,0.5,1.6,2,9.8,"Atlanta Hawks",23.6,45.1
"44","Dragan Bender","PF",19,"PHO",43,0,574,3.6,10.1,0.354,1.8,6.3,0.277,1.8,3.8,0.483,0.3,0.7,0.364,1.4,5,6.5,1.4,0.6,1.4,2,4.6,9.2,"Phoenix Suns",19.6,45
"45","Anthony Bennett","PF",23,"BRK",23,1,264,5.2,12.5,0.413,1.8,6.5,0.271,3.4,6,0.568,3.5,4.9,0.722,3.4,7.2,10.6,1.6,0.7,0.4,1.6,2.5,15.7,"Brooklyn Nets",21.4,44.4
"46","Ben Bentil","PF",21,"DAL",3,0,10,0,10.8,0,0,3.6,0,0,7.2,0,0,0,NA,0,7.2,7.2,0,0,0,3.6,3.6,0,"Dallas Mavericks",20.8,44
"47","Davis Bertans","PF",24,"SAS",67,6,808,4.6,10.4,0.44,3.1,7.7,0.399,1.5,2.7,0.557,1.2,1.5,0.824,1,3.4,4.4,2,0.9,1.2,1.4,3.3,13.5,"San Antonio Spurs",23.8,46.9
"48","Patrick Beverley","SG",28,"HOU",67,67,2058,4,9.5,0.42,1.9,5,0.382,2.1,4.5,0.463,1.3,1.7,0.768,1.7,5.2,6.9,4.9,1.7,0.4,1.7,3.9,11.2,"Houston Rockets",25.2,46.2
"49","Bismack Biyombo","C",24,"ORL",81,27,1793,3.6,6.8,0.528,0,0,NA,3.6,6.8,0.528,2.5,4.7,0.534,3.2,8.2,11.4,1.5,0.5,1.8,1.9,4.1,9.7,"Orlando Magic",22.2,44
"50","Nemanja Bjelica","PF",28,"MIN",65,1,1190,4.6,10.8,0.424,1.7,5.4,0.316,2.9,5.4,0.531,1.4,1.8,0.738,1.7,5.7,7.4,2.4,1.2,0.6,1.8,4.7,12.2,"Minnesota Timberwolves",23.7,46.7
"51","Tarik Black","C",25,"LAL",67,16,1091,4.9,9.7,0.51,0,0.1,0.5,4.9,9.6,0.51,2.7,3.6,0.752,4.8,6.6,11.3,1.3,1,1.5,1.9,5.7,12.6,"Los Angeles Lakers",20.9,45
"52","Eric Bledsoe","PG",27,"PHO",66,66,2176,7.4,17.1,0.434,1.7,5.1,0.335,5.7,12,0.477,6.4,7.6,0.847,0.9,4.4,5.3,6.9,1.5,0.5,3.7,2.7,23,"Phoenix Suns",19.6,45
"53","Bojan Bogdanovic","SF",27,"BRK",55,54,1482,6.5,14.8,0.44,2.4,6.7,0.357,4.1,8.1,0.509,3.5,4.1,0.874,0.6,4.2,4.8,2.2,0.6,0.1,2.3,2.4,19,"Brooklyn Nets",21.4,44.4
"54","Bojan Bogdanovic","SF",27,"WAS",26,0,601,6.4,14,0.457,2.7,6.9,0.391,3.7,7.1,0.521,4.3,4.6,0.934,0.8,4,4.8,1.3,0.6,0.2,2.3,2.8,19.8,"Washington Wizards",23.9,47.5
"55","Andrew Bogut","C",32,"DAL",26,21,582,2.4,5,0.469,0,0.1,0,2.4,4.9,0.475,0.2,0.7,0.273,3.5,10,13.5,3,0.8,1.5,2.7,5.2,4.9,"Dallas Mavericks",20.8,44
"56","Andrew Bogut","C",32,"CLE",1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,72,0,"Cleveland Cavaliers",22.7,47
"57","Joel Bolomboy","PF",23,"UTA",12,0,53,6.1,10.9,0.563,0.7,2.7,0.25,5.4,8.2,0.667,2,4.1,0.5,2.7,8.8,11.5,1.4,0.7,1.4,1.4,0.7,14.9,"Utah Jazz",20.1,46.6
"58","Devin Booker","SG",20,"PHO",78,78,2730,8,18.9,0.423,1.9,5.3,0.363,6.1,13.5,0.447,4.8,5.8,0.832,0.6,2.7,3.3,3.5,0.9,0.3,3.2,3.2,22.8,"Phoenix Suns",19.6,45
"59","Trevor Booker","PF",29,"BRK",71,43,1754,6.3,12.1,0.516,0.5,1.6,0.321,5.7,10.5,0.546,1.5,2.3,0.673,2.9,8.8,11.7,2.8,1.5,0.6,2.6,3.1,14.6,"Brooklyn Nets",21.4,44.4
"60","Avery Bradley","SG",26,"BOS",55,55,1835,7,15.2,0.463,2.1,5.4,0.39,4.9,9.8,0.504,1.3,1.8,0.731,1.3,5.3,6.6,2.4,1.3,0.2,1.7,2.8,17.5,"Boston Celtics",25.2,45.4
"61","Corey Brewer","SF",30,"HOU",58,8,923,3.7,8.9,0.414,0.9,3.7,0.234,2.8,5.2,0.541,1.2,1.7,0.727,0.8,3.6,4.4,2.4,1.4,0.5,1.4,4.1,9.4,"Houston Rockets",25.2,46.2
"62","Corey Brewer","SF",30,"LAL",24,3,358,5.3,12.2,0.438,0.5,2.4,0.208,4.8,9.8,0.495,1.8,2.4,0.75,1.1,4.1,5.2,3.6,2.4,0.8,1.9,2.9,13,"Los Angeles Lakers",20.9,45
"63","Malcolm Brogdon","SG",24,"MIL",75,28,1982,5.3,11.5,0.457,1.4,3.5,0.404,3.9,8,0.48,2,2.3,0.865,0.9,3,3.9,5.8,1.5,0.2,2.1,2.5,13.9,"Milwaukee Bucks",24.2,47.4
"64","Aaron Brooks","PG",32,"IND",65,0,894,4.9,12.1,0.403,1.9,5.2,0.375,2.9,6.9,0.424,1.3,1.6,0.8,0.7,2.1,2.8,5,1,0.4,2.7,3.7,13,"Indiana Pacers",22.5,46.5
"65","Anthony Brown","SF",24,"NOP",9,0,143,3.5,10.3,0.341,1.5,6,0.25,2,4.3,0.471,0,0,NA,1.5,5,6.5,1.5,1.3,0.3,1.3,3.3,8.6,"New Orleans Pelicans",22.8,45
"66","Anthony Brown","SF",24,"ORL",2,0,16,9,20.3,0.444,2.3,6.8,0.333,6.8,13.5,0.5,0,0,NA,4.5,11.3,15.8,4.5,0,0,2.3,4.5,20.3,"Orlando Magic",22.2,44
"67","Bobby Brown","PG",32,"HOU",25,0,123,6.7,17.6,0.383,4.1,10.2,0.4,2.6,7.3,0.36,0.6,0.6,1,0,1.8,1.8,4.1,0.3,0,1.5,1.5,18.1,"Houston Rockets",25.2,46.2
"68","Jaylen Brown","SF",20,"BOS",78,20,1341,5.2,11.4,0.454,1.2,3.6,0.341,3.9,7.7,0.507,2.3,3.3,0.685,1.2,4.7,5.9,1.7,0.9,0.5,1.8,3.8,13.8,"Boston Celtics",25.2,45.4
"69","Nicolas Brussino","SF",23,"DAL",54,2,521,3.6,9.7,0.369,2,6.6,0.305,1.6,3.2,0.5,1.2,1.5,0.773,1.8,4.8,6.6,3.2,1.2,0.6,1.8,3,10.4,"Dallas Mavericks",20.8,44
"70","Reggie Bullock","SF",25,"DET",31,5,467,4.2,9.9,0.422,2.2,5.6,0.384,2,4.2,0.473,0.4,0.5,0.714,1,3.9,4.9,2.2,1.4,0.2,0.8,1.7,10.9,"Detroit Pistons",21.1,44.9
"71","Trey Burke","PG",24,"WAS",57,0,703,5.9,13.1,0.455,1.6,3.6,0.443,4.4,9.5,0.459,1.1,1.5,0.759,0.4,2,2.4,5.1,0.6,0.3,2.5,2.8,14.6,"Washington Wizards",23.9,47.5
"72","Alec Burks","SG",25,"UTA",42,0,653,5.5,13.7,0.399,1.4,4.2,0.329,4.1,9.5,0.43,3.3,4.3,0.769,0.9,5.7,6.6,1.7,1,0.3,1.9,2.8,15.6,"Utah Jazz",20.1,46.6
"73","Jimmy Butler","SF",27,"CHI",76,75,2809,7.3,16,0.455,1.2,3.2,0.367,6.1,12.9,0.477,7.5,8.7,0.865,1.7,4.4,6,5.3,1.8,0.4,2,1.4,23.3,"Chicago Bulls",22.6,44.4
"74","Bruno Caboclo","SF",21,"TOR",9,0,40,5.4,14.4,0.375,1.8,5.4,0.333,3.6,9,0.4,0,0,NA,4.5,4.5,9,3.6,1.8,0.9,1.8,3.6,12.6,"Toronto Raptors",18.5,46.4
