,Player,Pos,Age,Team,Abb_team,MP,PTS,AST,FG,FT,X3P,FGA,TOV,FTA,TRB,ORB,BLK,STL,PF,team_AST,team_FG,Pace,pace_adjustment,PER_value
1,Alex Abrines,SG,23,Oklahoma City Thunder,OKC,1055,13.9,1.4,4.6,1.5,3.2,11.6,1.1,1.7,2.9,0.6,0.3,1.3,3.9,21,45.2,97.8,0.985685072,0.007346332
2,Quincy Acy,PF,26,Brooklyn Nets,BRK,510,14.8,1.3,4.6,3,2.5,10.8,1.3,4,7.6,1.3,1.1,1,4.1,21.4,44.4,101.3,0.951628825,0.018883048
3,Steven Adams,C,23,Oklahoma City Thunder,OKC,2389,13.6,1.3,5.6,2.4,0,9.9,2.2,3.9,9.2,4.2,1.2,1.3,2.9,21,45.2,97.8,0.985685072,0.005033265
4,Arron Afflalo,SG,31,Sacramento Kings,SAC,1580,11.7,1.8,4.2,1.9,1.4,9.6,1,2.1,2.8,0.2,0.1,0.5,2.4,22.5,46.1,94.9,1.015806112,0.004215412
5,Alexis Ajinca,C,28,New Orleans Pelicans,NOP,584,12.8,0.7,5.5,1.8,0,11,1.9,2.5,10.9,2.8,1.4,1.2,4.7,22.8,45,98,0.983673469,0.016386995
6,Cole Aldrich,C,28,Minnesota Timberwolves,MIN,531,7.1,1.7,3.1,1,0,5.8,1.2,1.5,10.7,3.5,1.6,1.7,5.8,23.7,46.7,94.6,1.019027484,0.018210533
7,LaMarcus Aldridge,PF,31,San Antonio Spurs,SAS,2335,19.2,2.1,7.7,3.4,0.4,16.2,1.5,4.2,8.1,2.7,1.4,0.7,2.4,23.8,46.9,94.2,1.023354565,0.005896261
8,Lavoy Allen,PF,27,Indiana Pacers,IND,871,7.3,2.4,3.2,1,0,6.9,1.2,1.4,9.1,4.3,1,0.7,3.2,22.5,46.5,95.9,1.005213764,0.01017657
9,Tony Allen,SG,35,Memphis Grizzlies,MEM,1914,12.1,1.8,5.2,1.5,0.3,11.2,1.9,2.4,7.4,3.1,0.5,2.2,3.3,21.3,43.5,92.3,1.044420368,0.005306177
10,Al-Farouq Aminu,SF,26,Portland Trail Blazers,POR,1773,10.8,2,3.7,1.9,1.4,9.5,1.9,2.8,9.2,1.6,0.9,1.2,2.1,21.1,45.9,96.7,0.996897622,0.004619802
11,Chris Andersen,C,38,Cleveland Cavaliers,CLE,114,8.8,1.6,2.8,3.2,0,6.9,1.6,4.4,9.8,2.8,2.2,1.6,6.3,22.7,47,96.2,1.002079002,0.073453746
12,Alan Anderson,SF,34,LA Clippers,LAC,308,10.1,1.3,3.5,1.4,1.6,9.4,0.8,1.9,2.8,0.4,0,0.4,4.1,22.5,47.5,96.1,1.003121748,0.012673881
13,Justin Anderson,SF,23,Philadelphia 76ers,PHI,518,14.1,2.4,5.2,2.2,1.5,11.3,1.8,2.8,6.7,2.1,0.5,0.9,3.1,23.8,44.2,98.5,0.978680203,0.018467804
14,Kyle Anderson,SG,23,San Antonio Spurs,SAS,1020,8.7,3.2,3.3,1.6,0.5,7.4,1.4,2,7.3,1.2,0.9,1.8,2.2,23.8,46.9,94.2,1.023354565,0.009150559
15,Ryan Anderson,PF,28,Houston Rockets,HOU,2116,16.7,1.2,5.5,2.2,3.5,13.2,0.9,2.6,5.6,1.9,0.2,0.5,2.4,25.2,46.2,100,0.964,0.004727295
16,Giannis Antetokounmpo,SF,22,Milwaukee Bucks,MIL,2845,23.2,5.5,8.3,6,0.6,15.9,3,7.7,8.9,1.8,1.9,1.7,3.1,24.2,47.4,94.5,1.02010582,0.006647216
17,Carmelo Anthony,SF,32,New York Knicks,NYK,2538,23.5,3,8.5,4.3,2.1,19.7,2.2,5.2,6.2,0.9,0.5,0.9,2.8,21.8,44.7,96,1.004166667,0.005053522
18,Joel Anthony,C,34,San Antonio Spurs,SAS,122,7.4,0.9,3,1.5,0,4.7,1.2,2.4,9.1,2.4,1.8,0.6,3.2,23.8,46.9,94.2,1.023354565,0.073003397
19,Trevor Ariza,SF,31,Houston Rockets,HOU,2773,12.2,2.3,4.2,1.2,2.5,10.4,0.9,1.6,5.9,0.7,0.3,1.9,1.7,25.2,46.2,100,0.964,0.003350242
20,Darrell Arthur,PF,28,Denver Nuggets,DEN,639,14.8,2.4,5.4,1.1,3,12.1,2,1.2,6.3,1.4,1.2,1.1,4.3,25.3,46.9,98.3,0.980671414,0.015605587
21,Omer Asik,C,30,New Orleans Pelicans,NOP,482,6.3,1.1,2.3,1.7,0,4.9,1,2.9,12.2,3.6,0.7,0.4,3.8,22.8,45,98,0.983673469,0.014863851
22,D.J. Augustin,PG,29,Orlando Magic,ORL,1538,14.4,4.9,4.6,3.1,2.2,12.1,2.1,3.8,2.7,0.4,0,0.7,2.4,22.2,44,96.8,0.995867769,0.005238463
23,Luke Babbitt,SF,27,Miami Heat,MIA,1065,11,1.2,3.8,0.4,2.9,9.5,0.8,0.5,4.8,0.4,0.4,0.7,4,21.2,45.5,95.2,1.012605042,0.006074419
24,Ron Baker,SG,23,New York Knicks,NYK,857,9,4.5,3.4,1.2,1,9.1,2.4,1.8,4.1,0.5,0.3,1.4,3.1,21.8,44.7,96,1.004166667,0.006482387
25,Wade Baldwin,PG,20,Memphis Grizzlies,MEM,405,9.4,5.4,3.2,2.8,0.3,10.2,3.5,3.3,4.1,1,0.6,1.6,3.6,21.3,43.5,92.3,1.044420368,0.012052716
