"","Team","Abb_team","PER"
"1","Atlanta Hawks","ATL",0.194547485
"2","Boston Celtics","BOS",1.484714579
"3","Brooklyn Nets","BRK",0.374215691
"4","Charlotte Hornets","CHO",0.582927772
"5","Chicago Bulls","CHI",0.06836592
"6","Cleveland Cavaliers","CLE",2.123566131
"7","Dallas Mavericks","DAL",0.867538434
"8","Denver Nuggets","DEN",4.54993818
"9","Detroit Pistons","DET",0.164967619
"10","Golden State Warriors","GSW",0.289457318
"11","Houston Rockets","HOU",0.527435536
"12","Indiana Pacers","IND",0.262361186
"13","LA Clippers","LAC",1.5338509
"14","Los Angeles Lakers","LAL",0.237762514
"15","Memphis Grizzlies","MEM",0.194724914
"16","Miami Heat","MIA",0.155770925
"17","Milwaukee Bucks","MIL",0.534869896
"18","Minnesota Timberwolves","MIN",0.925697703
"19","New Orleans Pelicans","NOP",0.762874064
"20","New York Knicks","NYK",0.209333021
"21","Oklahoma City Thunder","OKC",0.839489194
"22","Orlando Magic","ORL",1.206200343
"23","Philadelphia 76ers","PHI",0.602535993
"24","Phoenix Suns","PHO",1.103277888
"25","Portland Trail Blazers","POR",0.242156996
"26","Sacramento Kings","SAC",0.528845161
"27","San Antonio Spurs","SAS",0.241422816
"28","Toronto Raptors","TOR",0.475351841
"29","Utah Jazz","UTA",0.416211246
"30","Washington Wizards","WAS",9.39597882
